Open,High,Low,Weekday,Close
1.544,1.5471,1.5371,Monday,1.5422
1.5634,1.5701,1.5576,Friday,1.5683
1.8937,1.9023,1.8879,Wednesday,1.8966
1.3788,1.3847,1.3754,Monday,1.3759
1.3626,1.3672,1.3537,Wednesday,1.3605
1.3888,1.3991,1.3855,Monday,1.3983
1.8829,1.883,1.8686,Monday,1.8727
1.5672,1.5708,1.5583,Friday,1.5584
1.7097,1.7116,1.7037,Friday,1.7083
1.2681,1.2728,1.2651,Tuesday,1.2658
1.1891,1.1916,1.1805,Tuesday,1.1886
1.4478,1.4744,1.4443,Thursday,1.4702
1.8918,1.8966,1.8846,Monday,1.8926
1.2425,1.2474,1.2391,Wednesday,1.2435
1.3001,1.3014,1.296,Monday,1.3007
1.5684,1.5768,1.5664,Friday,1.5743
1.5391,1.5468,1.5386,Friday,1.5449
1.2927,1.2948,1.2892,Wednesday,1.2935
1.5363,1.5519,1.5348,Wednesday,1.5498
1.8414,1.8423,1.8301,Monday,1.8415
1.2734,1.2771,1.2683,Wednesday,1.2751
1.5963,1.6011,1.5911,Monday,1.5986
1.5707,1.5743,1.5648,Wednesday,1.5666
1.5536,1.5619,1.5488,Monday,1.5502
1.8789,1.8895,1.8746,Tuesday,1.8881
1.4196,1.4254,1.401,Thursday,1.421
1.4456,1.4634,1.4399,Wednesday,1.46
1.2925,1.2947,1.2826,Monday,1.2851
1.9997,2.0145,1.9973,Thursday,2.0092
1.797,1.7976,1.7735,Wednesday,1.7762
1.9045,1.9082,1.8776,Tuesday,1.883
1.9578,1.9647,1.9554,Monday,1.956
1.6284,1.6409,1.6255,Monday,1.6384
1.2242,1.2325,1.2164,Wednesday,1.2197
1.6737,1.6823,1.6725,Thursday,1.6813
1.9831,1.984,1.9727,Friday,1.975
1.8866,1.8901,1.8855,Tuesday,1.8876
1.537,1.542,1.5341,Thursday,1.5375
1.301,1.303,1.2945,Friday,1.3022
1.2847,1.2926,1.2813,Tuesday,1.289
1.4297,1.4596,1.416,Thursday,1.4508
1.3184,1.3365,1.3168,Tuesday,1.3341
1.6234,1.6272,1.6112,Friday,1.616
1.2224,1.2234,1.216,Friday,1.2166
1.6198,1.6213,1.6034,Thursday,1.6059
1.4818,1.4828,1.447,Tuesday,1.4508
1.2611,1.2699,1.26,Wednesday,1.2661
1.2318,1.2432,1.2269,Thursday,1.2412
1.423,1.4297,1.4219,Friday,1.4236
2.0525,2.054,2.047,Thursday,2.0488
1.7782,1.7787,1.7635,Tuesday,1.7673
1.958,1.9756,1.9555,Monday,1.9752
1.7355,1.7398,1.7228,Friday,1.7261
1.4348,1.4363,1.4152,Monday,1.4289
1.5357,1.5403,1.5312,Tuesday,1.5345
1.5333,1.5442,1.5325,Wednesday,1.5435
1.6931,1.6937,1.6832,Friday,1.6855
1.3663,1.3668,1.3603,Tuesday,1.3616
1.5343,1.5491,1.5339,Friday,1.5463
1.9635,1.9652,1.956,Thursday,1.9584
1.8954,1.8969,1.8837,Wednesday,1.8891
1.306,1.3121,1.3028,Tuesday,1.3055
1.6182,1.6497,1.6163,Monday,1.6439
1.2477,1.2499,1.2425,Monday,1.2466
1.8917,1.8957,1.8868,Wednesday,1.8943
1.713,1.7158,1.7094,Wednesday,1.7156
1.5393,1.5424,1.5292,Tuesday,1.5353
1.4143,1.4153,1.4047,Wednesday,1.4054
1.2474,1.2531,1.246,Thursday,1.2517
1.6309,1.6319,1.6206,Tuesday,1.6265
1.4115,1.4183,1.4053,Thursday,1.4145
1.2984,1.2993,1.2855,Friday,1.2872
1.5253,1.5494,1.5245,Wednesday,1.5471
1.5522,1.5543,1.544,Friday,1.5526
1.2188,1.2363,1.2186,Tuesday,1.2333
1.5287,1.5298,1.5195,Tuesday,1.5236
1.2358,1.238,1.2301,Thursday,1.2325
1.322,1.329,1.3201,Friday,1.3285
1.2195,1.2263,1.2153,Friday,1.2261
1.3088,1.3109,1.3049,Thursday,1.3056
1.5493,1.555,1.546,Friday,1.5514
1.6298,1.6363,1.6254,Wednesday,1.6327
1.4001,1.415,1.3997,Wednesday,1.4138
1.6439,1.6647,1.6392,Tuesday,1.6609
1.7963,1.8069,1.7948,Friday,1.8032
1.7406,1.7445,1.7276,Tuesday,1.7359
1.5834,1.5883,1.5729,Monday,1.5799
1.2713,1.2798,1.2671,Wednesday,1.2733
1.5939,1.6045,1.5873,Friday,1.6037
1.2169,1.2406,1.2039,Thursday,1.2351
1.6428,1.6523,1.6383,Monday,1.6489
1.6339,1.6458,1.6312,Tuesday,1.636
1.5264,1.5341,1.5248,Tuesday,1.532
1.615,1.63,1.6115,Wednesday,1.6264
1.274,1.276,1.2703,Monday,1.2718
1.2679,1.2682,1.2578,Friday,1.259
1.3133,1.3211,1.3127,Tuesday,1.3197
1.5651,1.567,1.5535,Monday,1.558
1.6459,1.6571,1.6452,Tuesday,1.6491
1.6142,1.6255,1.6056,Friday,1.623
1.2966,1.2986,1.2927,Monday,1.2939
1.3582,1.3604,1.353,Monday,1.3574
1.541,1.5441,1.5337,Monday,1.5358
1.3487,1.3522,1.3452,Thursday,1.3498
1.3267,1.3338,1.3246,Friday,1.3283
1.9005,1.9072,1.8982,Monday,1.9001
1.5677,1.5717,1.567,Monday,1.5679
